GRAND_ID     LAT_c     LON_c     CATCH_SKM
223     37.117567     -121.548868     309
224     37.103536     -122.072401     24
225     37.09375     -121.047917     329
226     37.067455     -121.082393     213
227     37.065915     -121.691241     82
228     36.991883     -120.933041     418
229     36.393982     -120.834811     212
230     35.798659     -120.886663     831
231     35.759477     -120.886973     840
232     35.448964     -120.884956     57
233     35.337189     -120.500628     291
234     35.189583     -120.486458     178
235     63.511216     -116.004535     13294
236     58.768234     -117.368775     384
237     57.492629     -111.278186     197
238     57.093649     -111.643828     5
239     57.048879     -111.58125     5
240     57.028852     -111.612156     0
241     57.021624     -111.569792     7
242     57.013996     -111.531141     3
243     56.992781     -111.461458     2
244     53.891995     -115.065711     614
245     52.97061     -115.582343     5593
246     52.906611     -115.38125     74
247     52.869758     -117.804311     756
248     52.788419     -112.715519     6912
249     52.310861     -116.327917     3870
250     52.077993     -118.569792     20976
251     52.05434     -114.211991     5505
252     51.847343     -106.389734     186
253     51.268741     -106.864575     118914
254     51.256575     -111.636385     1905
255     51.246785     -115.497678     871
256     51.214544     -114.707292     6459
257     51.052067     -118.193246     26205
258     51.031097     -115.048028     887
259     51.000333     -114.093517     1179
260     50.889583     -115.373958     471
261     50.85772     -112.373958     649
262     50.713349     -118.105755     36
263     50.690145     -115.132517     338
264     50.613539     -115.122917     143
265     50.353672     -118.53962     1115
266     50.308754     -107.385953     400
267     50.278853     -112.827083     1252
268     50.252176     -116.94366     2432
269     50.196758     -114.19101     218
270     50.177985     -112.723958     5611
271     50.072645     -108.047996     2464
272     49.971057     -109.520492     1168
273     49.916505     -118.117124     388
275     49.8221     -110.937116     2426
276     49.784305     -106.569949     5010
277     49.683535     -112.3518     280
278     49.566441     -113.896979     4361
279     49.46878     -117.465095     46402
280     49.379912     -112.58995     164
281     49.364707     -113.118838     2288
282     49.342295     -117.774543     36413
283     49.326103     -117.618297     50031
284     49.326763     -113.677261     1286
285     49.32926     -112.899424     330
286     49.303443     -107.807699     3422
287     49.031265     -117.501042     66938
288     49.032726     -105.436128     1350
289     49.004763     -117.611292     67055
290     48.985004     -117.347793     65465
291     48.952613     -119.431149     8177
292     48.828116     -113.523663     166
293     48.599168     -109.949037     8566
295     48.531051     -107.523165     103
296     48.493392     -113.265832     147
297     48.411432     -115.313542     23324
298     48.346365     -112.698714     37
299     48.339662     -114.010417     4253
300     48.322931     -111.102097     12370
301     48.302083     -112.29375     44
302     48.277278     -118.378177     97
303     48.230185     -117.291114     47
304     48.181979     -114.619235     101
305     48.178294     -116.997745     62819
306     48.160417     -112.878447     194
307     48.001098     -106.414583     147429
308     47.960411     -112.410422     118
309     47.958644     -115.73393     56057
310     47.954652     -118.98095     194674
311     47.939695     -119.019462     715
312     47.931112     -114.735349     271
313     47.8343     -117.837699     15909
314     47.763065     -117.087375     79
315     47.705243     -116.951042     9853
316     47.676175     -114.232292     18296
317     47.674729     -112.48791     12
318     47.643194     -114.145429     10
319     47.60042     -112.762395     1429
320     47.549113     -112.428497     269
321     47.503721     -114.229384     439
322     47.485253     -112.539583     17
323     47.448531     -119.247831     488
324     47.440789     -114.130767     62
325     47.264316     -113.931228     21
326     47.110951     -108.535466     15
327     47.085252     -119.33013     6496
328     46.9895     -112.00209     43863
329     46.982823     -119.264583     10906
330     46.940883     -108.237168     1600
331     46.800985     -112.809163     376
332     46.760509     -111.885127     43198
333     46.702833     -119.030208     326
334     46.70063     -111.901861     1623
335     46.671677     -119.026957     333
336     46.637258     -110.937696     116
337     46.621322     -110.746167     193
338     46.516351     -116.297014     6305
339     46.450783     -110.269359     41
340     46.332136     -109.422917     24
341     46.208565     -113.278141     135
342     46.164727     -113.235417     4
344     46.12965     -113.380592     84
345     46.063822     -114.236534     143
346     45.860356     -119.171723     497
347     45.717058     -114.281904     814
348     45.70526     -111.702358     166
349     45.692263     -119.817708     164
350     45.605278     -118.792708     499
351     45.450494     -109.203451     538
352     45.447866     -111.660501     5705
353     45.344451     -119.54375     256
354     45.33359     -117.22121     131
355     45.305859     -107.957143     50708
356     45.237904     -112.111221     1519
357     45.224283     -109.765554     122
358     45.164583     -107.597944     25
359     45.13061     -106.769792     4619
360     45.053061     -118.019879     87
361     45.013574     -117.78289     2362
362     44.997869     -112.860426     5974
363     44.970949     -116.837102     169172
364     44.863227     -111.334057     2416
365     44.835014     -116.902154     168604
366     44.831524     -111.422178     2653
367     44.671057     -117.999626     425
368     44.654902     -112.363205     1470
369     44.568126     -107.213542     102
370     44.523064     -116.053057     1585
371     44.51387     -106.781869     102
372     44.504773     -118.18281     812
373     44.500233     -109.186819     3908
374     44.420051     -111.394991     1286
375     44.39375     -116.89813     146
376     44.354561     -117.674399     703
377     44.295039     -115.645624     285
378     44.129764     -110.817278     8
379     44.097302     -108.981198     61
380     44.078935     -111.496207     2797
381     44.058977     -109.049863     28
382     44.01512     -117.398688     1418
383     43.912118     -118.155208     1155
384     43.857485     -110.591126     1963
385     43.663883     -108.827888     321
386     43.639982     -117.238522     26949
387     43.593558     -115.921576     5723
388     43.58693     -118.2091     2774
389     43.584629     -116.73125     160
390     43.580736     -111.740813     1648
391     43.526359     -116.052083     6947
392     43.426524     -114.028321     713
393     43.414157     -108.177221     19969
394     43.36022     -115.447429     2512
395     43.350723     -115.388704     107
396     43.330514     -111.202028     13392
397     43.256388     -114.360473     4127
398     43.209951     -109.044413     551
399     43.195527     -108.760417     25
400     43.089658     -109.967298     92
401     43.015638     -106.698958     566
402     43.006451     -111.713537     1465
403     42.995     -109.905078     87
404     42.953073     -108.819757     47
405     42.947917     -115.972917     90100
406     42.906485     -117.234543     137
407     42.90693     -109.835417     262
408     42.839323     -114.906203     66207
409     42.83623     -109.701363     330
410     42.793246     -109.017708     21
411     42.779062     -112.873708     39779
412     42.718483     -105.613712     390
413     42.667609     -113.484084     46102
414     42.644502     -111.694731     10584
415     42.543117     -106.727083     27437
416     42.46391     -106.853706     27292
417     42.443132     -119.856249     2542
418     42.274419     -111.746388     11508
419     42.252083     -109.432426     998
420     42.238935     -109.372287     19
421     42.154838     -106.906358     18330
422     42.130592     -119.814583     33
423     42.028371     -110.065625     10840
424     41.997877     -105.043725     6
425     41.96939     -110.660417     590
426     41.852041     -105.706575     103
427     41.845177     -112.037082     16197
428     41.833794     -105.642093     4817
429     41.742216     -109.877083     3
430     41.684728     -115.83377     517
431     41.623799     -111.871746     539
432     41.519174     -111.745961     186
433     41.501721     -111.018826     2015
434     41.475933     -105.886106     87
435     41.399013     -115.895135     4
436     41.395272     -117.179557     1997
437     41.376955     -112.130397     178
438     41.254826     -111.841795     820
439     41.240531     -105.902304     131
440     41.236324     -117.218939     7
441     41.198489     -106.260465     55
442     41.185867     -111.39784     314
443     41.155854     -110.830852     172
444     41.034694     -106.861599     34
445     41.025296     -110.582609     396
446     41.008612     -116.363626     16
447     40.987786     -116.341095     4
448     40.987986     -110.386982     130
449     40.963948     -111.430527     1868
450     40.919468     -111.597917     388
451     40.915665     -109.420471     39053
452     40.909491     -109.86875     4
453     40.907934     -112.703454     27
454     40.849616     -105.019943     45
455     40.793559     -106.948734     104
456     40.787922     -111.40263     864
457     40.770068     -111.701575     43
458     40.76266     -111.104034     83
459     40.74884     -116.195377     2
460     40.708039     -105.087815     115
461     40.68374     -115.783548     2827
462     40.673895     -105.030238     32
463     40.65688     -105.046875     7
464     40.639998     -118.269238     21
465     40.623918     -105.083955     183
466     40.603605     -105.844359     83
467     40.599261     -111.422917     644
468     40.589614     -105.164661     42
469     40.577988     -109.420236     245
470     40.561752     -110.701662     253
471     40.562222     -110.489005     298
472     40.558125     -107.382901     538
473     40.510417     -109.53125     53
474     40.502021     -105.773932     23
475     40.470148     -118.310227     41524
476     40.462942     -105.042343     46
477     40.407034     -111.525821     1412
478     40.406729     -105.086458     19
479     40.358628     -111.892115     6670
480     40.343023     -105.126042     20
481     40.326941     -105.214853     6
482     40.295551     -110.227662     60
483     40.290901     -109.878405     7
484     40.285105     -106.833021     584
485     40.26586     -116.7009     1
486     40.21813     -105.370092     258
487     40.210417     -105.84375     482
488     40.191264     -110.444834     2726
489     40.189529     -109.666085     26
490     40.174675     -105.046128     36
491     40.147981     -105.945086     353
492     40.139748     -105.856013     797
493     40.137146     -111.028275     547
494     40.108072     -108.7129     7163
495     40.081497     -105.212051     43
496     40.055812     -107.047989     95
497     40.03395     -106.205943     587
498     40.030292     -105.185417     5
499     39.965712     -105.486458     106
500     39.949456     -105.357859     243
501     39.947899     -105.210434     2
502     39.876756     -106.329309     1493
503     39.875545     -111.87122     734
504     39.872173     -105.115448     42
505     39.832745     -105.241537     121
506     39.788265     -111.12828     416
507     39.628571     -107.759375     360
508     39.624824     -105.057908     7
509     39.61875     -106.060416     844
510     39.602668     -111.214737     74
511     39.55497     -105.05625     7852
512     39.513194     -118.513036     84
513     39.472703     -112.343452     14
514     39.460352     -119.06875     4620
515     39.372709     -112.0302     13311
516     39.367482     -106.46163     20
517     39.364977     -106.814496     581
518     39.289893     -111.272992     370
519     39.253663     -106.371408     76
520     39.227083     -115.052083     34
521     39.222856     -107.809638     63
522     39.210039     -105.273882     4562
523     39.207266     -111.707708     1900
524     39.173654     -119.90502     6
525     39.12119     -112.053324     168
526     39.101848     -111.190106     369
527     39.044175     -118.861185     6759
528     39.021027     -106.245677     1326
529     38.989297     -105.895655     436
530     38.97361     -105.623608     2005
531     38.942351     -107.350889     663
532     38.922302     -105.069792     26
533     38.902254     -105.478234     2512
534     38.893128     -114.014583     2949
535     38.84375     -119.735416     3
536     38.820602     -106.604289     664
537     38.68814     -107.604956     197
538     38.68404     -117.118702     25
539     38.610157     -111.632587     154
540     38.602746     -107.588549     56
541     38.45367     -107.333611     8905
542     38.451537     -107.53435     9453
543     38.416003     -117.459788     28
544     38.393724     -119.997266     121
545     38.331332     -119.958792     583
546     38.325225     -119.212814     940
547     38.322692     -112.191059     6241
548     38.279987     -119.732871     63
549     38.230238     -107.540387     156
550     38.21623     -112.833768     1363
551     38.197774     -119.985074     122
552     38.169475     -112.01883     981
553     38.034581     -108.247879     6
554     37.977502     -119.910579     317
555     37.974799     -119.880383     199
556     37.969309     -119.272015     11
557     37.949378     -119.787927     1181
558     37.884367     -107.206469     123
559     37.858664     -119.107292     159
560     37.804965     -107.097643     16
561     37.79062     -108.291307     36
562     37.750456     -119.149704     54
563     37.722445     -112.631263     120
564     37.72147     -107.270318     416
565     37.662211     -109.437291     166
566     37.587829     -118.707834     1000
567     37.578215     -108.571436     2085
568     37.548048     -107.805617     30
569     37.517876     -113.86166     80
570     37.503946     -107.222694     96
571     37.483237     -108.627786     25
572     37.399487     -108.273317     4
573     37.392887     -105.39218     180
574     37.382549     -107.659343     171
575     37.377799     -107.572064     667
576     37.370232     -118.985417     239
577     37.357802     -106.285638     299
578     37.350215     -106.545704     106
579     37.324723     -119.317006     2594
580     37.293805     -119.527037     128
581     37.272603     -118.970118     450
582     37.252699     -113.77703     796
583     37.245224     -106.341351     93
584     37.233163     -119.216391     201
585     37.219517     -119.984278     621
586     37.209426     -118.614878     44
587     37.185529     -113.382203     206
588     37.168549     -118.569162     34
589     37.144915     -119.450339     3344
590     37.14375     -119.301896     74
591     37.112908     -105.412133     204
592     37.110637     -119.881035     616
593     37.081222     -118.973044     106
594     37.053543     -118.221648     5770
595     37.002085     -119.702082     4225
596     37.003905     -118.967372     457
597     36.939635     -111.485228     278955
598     36.877728     -119.66449     49
599     36.877279     -105.278125     141
600     36.831978     -119.321848     3992
601     36.801492     -107.609481     8331
602     36.711336     -106.875782     34
603     36.666231     -106.70481     1741
604     36.594947     -106.732989     2221
605     36.418267     -119.001457     1450
606     36.237769     -106.42863     5547
607     36.139904     -117.948226     192
608     36.11878     -114.911491     3961
609     36.062301     -118.92174     1020
610     36.018191     -114.735006     424018
611     35.665523     -105.228825     17
612     35.648325     -118.481266     5338
613     35.61975     -106.317485     37150
614     35.394321     -106.548993     2726
615     35.2317     -119.291082     23
616     35.20227     -114.572791     426441
617     35.07962     -111.533878     141
618     34.932666     -110.292872     31177
619     34.645013     -118.764728     744
620     34.585417     -119.979533     1087
621     34.578113     -118.384479     35
622     34.562378     -118.632367     197
623     34.552889     -111.186458     182
624     34.520378     -118.605333     410
625     34.462147     -118.753391     1077
626     34.373168     -119.335644     94
627     34.368424     -109.380173     2069
629     34.29867     -114.138725     451274
630     34.285377     -114.223546     20
631     34.263041     -117.170284     16
632     34.242682     -116.975708     88
633     34.239583     -118.827083     1
634     34.207769     -117.861998     544
635     34.177299     -117.880482     562
636     34.147035     -118.514583     4
637     34.12748     -118.83439     1
638     34.107268     -118.452968     3
639     34.089251     -117.805208     19
640     33.985427     -111.710417     14630
641     33.88768     -109.416534     8
642     33.851682     -117.447788     100
643     33.844532     -117.182292     23
644     33.817207     -111.629844     15118
645     33.78444     -117.724058     154
646     33.677736     -117.274653     1855
647     33.677097     -111.156236     15001
648     33.668795     -117.063342     34
649     33.662039     -116.705346     170
650     33.591111     -111.343282     15295
651     33.585522     -117.07134     133
652     33.569649     -111.532292     15999
653     33.550863     -111.439583     15697
654     33.496395     -116.975529     820
655     33.239908     -116.759717     532
656     33.176265     -110.522895     33584
657     33.156049     -107.189253     77323
658     33.117158     -116.785417     141
659     33.0464     -117.126268     772
660     33.02452     -116.996195     2
661     32.989128     -116.584743     27
662     32.914817     -116.927083     185
663     32.90664     -114.481181     57
664     32.898365     -107.293998     80217
665     32.884047     -116.80847     496
666     32.863326     -116.887722     2
667     32.785255     -116.786458     251
668     32.692771     -117.004901     470
669     32.686213     -116.546415     294
670     32.681268     -116.669379     632
671     32.614817     -116.927368     253
672     32.481664     -116.69375     111
673     32.443112     -116.907737     2798
674     31.219661     -105.785417     93478
675     30.877093     -111.514396     2278
676     30.439895     -109.381083     18786
677     29.211801     -110.725411     11753
678     29.072948     -110.917966     21321
679     29.013026     -111.421597     175
680     28.983816     -105.279578     57915
681     28.976204     -109.644892     58775
682     28.56934     -106.169415     392
683     28.427011     -110.396474     3120
684     28.246637     -105.299726     36968
685     28.164943     -105.631702     10684
686     27.824336     -109.896658     70605
687     27.542531     -105.415107     20905
688     27.227487     -109.10625     10955
689     26.844875     -108.367599     26289
690     26.510982     -108.581279     29598
691     26.432001     -108.70625     2257
692     25.857799     -107.910821     7455
693     25.592516     -105.01624     18453
694     25.485451     -108.063663     1648
695     25.107507     -107.391491     10988
696     24.816121     -107.147977     3305
697     24.753535     -107.05847     226
698     24.573058     -106.805552     8440
699     24.131722     -106.68545     1799
700     19.998079     -105.126958     1143
701     58.282178     -96.991457     3682
702     57.361625     -98.132949     265491
703     56.50597     -94.110497     993640
704     56.396874     -94.36986     992864
705     56.381209     -94.636446     991521
706     56.234185     -103.149606     62727
707     56.038725     -96.534375     948696
708     55.514466     -102.360452     211186
709     53.696359     -97.863542     919612
710     53.659367     -103.402193     256244
711     53.318158     -104.043855     254851
712     53.160069     -99.289952     331739
713     50.966044     -101.42232     17468
714     50.63859     -93.200208     26012
715     50.584951     -93.454616     36043
716     50.463546     -96.003125     134503
717     50.397348     -95.989539     134458
719     50.264983     -94.976042     51787
720     50.118929     -96.017123     127387
721     50.050433     -101.694792     3485
722     49.945305     -98.33125     146066
723     49.564931     -103.752642     3473
724     49.260855     -102.226994     5418
725     49.151575     -103.09456     6629
726     49.096083     -103.019968     3987
727     48.956493     -100.35625     171
728     48.949185     -96.257453     69
729     48.69903     -102.105286     1322
730     48.621488     -100.725696     35133
732     48.461399     -101.577083     23227
733     48.373433     -104.584222     9147
734     48.315208     -96.006034     2177
735     48.283068     -99.176208     2499
736     48.10506     -93.1634     334
737     48.041267     -92.839216     180
738     48.021356     -91.533666     7
740     47.956032     -95.272214     4852
741     47.860348     -91.610417     1108
742     47.843338     -93.393487     107
743     47.819127     -90.369827     88
744     47.813354     -91.784897     2390
745     47.735548     -95.201867     414
746     47.676121     -96.132292     76
747     47.669244     -93.047886     36
748     47.658775     -91.066206     0
749     47.596727     -92.611546     31
750     47.595953     -94.837269     177
751     47.525819     -93.394827     66
752     47.525919     -92.966106     15
753     47.50613     -101.432292     462779
754     47.49096     -92.18125     385
755     47.465073     -92.681281     91
756     47.459456     -92.375366     454
757     47.447917     -92.473958     12
758     47.428657     -94.053087     3884
759     47.406543     -93.498363     126
760     47.397936     -93.706233     31
761     47.380974     -95.314536     6
762     47.287092     -93.502526     1314
763     47.282541     -92.189105     379
764     47.264238     -93.947917     3307
765     47.261952     -91.641205     2
766     47.257722     -98.857866     3642
767     47.251782     -94.223518     2938
768     47.251326     -93.588285     8399
769     47.15031     -95.766344     267
770     47.068772     -101.206857     378
771     47.064583     -93.477627     111
772     47.056865     -95.543158     180
773     47.053208     -92.203247     168
774     47.036297     -98.079898     9998
775     46.992107     -92.225209     1368
776     46.982432     -95.04375     599
777     46.96493     -98.751547     2649
778     46.9555     -92.276042     194
779     46.952083     -94.804372     97
780     46.932526     -98.709425     4158
781     46.914583     -94.310417     20
782     46.881228     -95.635075     458
783     46.876257     -94.020132     77
784     46.867223     -102.828566     1027
785     46.848649     -94.875752     565
786     46.843839     -95.009905     70
787     46.844908     -94.430208     46
788     46.806359     -94.523038     116
789     46.783615     -93.321528     1106
790     46.732279     -95.894792     280
791     46.677615     -96.012761     620
792     46.670135     -94.112119     1442
793     46.654567     -95.708005     184
794     46.630417     -94.172083     125
795     46.627355     -95.540904     996
796     46.614305     -96.026194     859
797     46.612864     -94.176638     85
798     46.596531     -101.812192     4377
799     46.587305     -96.072499     887
800     46.590759     -95.50051     1430
801     46.577463     -94.318853     139
802     46.56492     -95.7812     54
803     46.474701     -95.571268     1739
804     46.464558     -95.722893     355
805     46.425273     -90.225561     195
806     46.414653     -94.358021     755
807     46.397626     -93.91875     104
808     46.378651     -94.183802     18190
809     46.361825     -95.734525     2741
