ID  lat_MERIT lon_MERIT area_MERIT
1491830 -17.625 31.592  1185.5
1491840 -17.275 31.275  2300.8
1491850 -17.275 31.558  3236.8
1491890 -17.358 31.425  1039.9
1495100 -21.175 32.292  43211.4
1495160 -20.608 30.458  6110.7
1495165 -20.625 30.442  4513.2
1495170 -20.142 30.442  4480.2
1495180 -19.958 30.475  1688.5
1495200 -21.158 31.208  14932.2
1495220 -21.125 31.258  7938.1
1495240 -21.142 31.275  22996.5
1495280 -20.742 31.242  5900.5
1495350 -20.908 31.642  2437.5
1495351 -20.475 31.525  1037.7
1495370 -20.558 30.275  4175.5
1495371 -20.358 29.908  1657.1
1495700 -19.225 32.008  11128.4
1495720 -18.892 31.958  3346.6
1495800 -18.908 32.425  2507.2
1495801 -19.775 32.408  7351.5
1495802 -18.875 32.442  2235.5
1496181 -21.075 28.825  4031.3
1496200 -21.325 28.942  5990.5
1496320 -20.592 29.175  2488.0
1496321 -21.425 29.392  9710.8
1496350 -20.525 29.258  1999.5
1496351 -20.775 29.358  2985.5
1496360 -20.842 29.925  1893.4
1496500 -22.225 29.975  202886.5
1512100 16.342  -12.858 8757.0
1512200 15.525  -12.708 5103.9
1512300 15.275  -12.558 1631.8
1526200 5.458 -2.125  4239.5
1526300 5.158 -1.642  22606.1
1526800 5.375 -0.592  1709.3
1526801 5.375 -0.592  1709.3
1530100 5.108 -2.742  16027.9
1531050 10.658  -2.925  101133.5
1531100 8.158 -2.025  138417.7
1531300 7.975 -0.875  6418.8
1531420 10.242  -1.275  10105.9
1531430 10.358  -1.342  12429.8
1531450 9.692 -1.092  96522.2
1531550 10.575  -0.842  57596.8
1531600 10.992  -0.392  41730.3
1531650 10.875  -0.608  11038.0
1531680 8.475 -0.208  7014.1
1531700 6.192 0.092 402907.6
1531800 9.292 0.242 59965.8
1535100 9.692 15.492  3622.8
1535110 9.292 15.492  2086.6
1537100 12.108  15.025  603164.9
1537120 12.092  15.075  512394.2
1537130 11.592  15.292  509341.3
1537150 10.242  15.392  66429.9
1537170 7.825 15.825  4400.8
1537180 8.542 16.058  33976.7
1537200 9.408 16.292  57059.8
1537250 8.642 16.842  13987.7
1537300 10.475  16.725  475328.1
1537450 8.342 17.775  67585.8
1537480 9.092 18.125  82125.5
1537500 9.142 18.408  202066.3
1537800 11.025  20.292  91766.5
1553100 -8.675  30.625  9353.4
1563100 11.225  34.992  174171.4
1563500 11.358  37.042  1650.5
1563750 11.575  37.408  15138.1
1563800 10.058  38.175  64805.8
1566100 8.242 34.575  23543.0
1577100 8.658 38.642  4639.1
1577101 8.375 38.775  7651.4
1577102 8.825 39.892  15390.3
1577200 8.675 38.625  4572.6
1577500 9.158 39.942  3015.5
1577600 8.975 40.175  18936.9
1577601 9.392 40.142  26873.3
1577602 11.125  40.775  48680.3
1577603 11.675  40.958  58684.0
1577700 10.642  39.908  1542.3
1577800 11.425  40.742  4458.3
1582700 8.225 37.575  15887.8
1582800 8.258 37.775  1847.9
1591001 -16.075 23.275  287937.2
1591002 -14.375 23.242  213179.0
1591100 -13.308 23.208  4117.3
1591200 -14.042 23.608  66442.5
1591230 -13.442 24.375  36682.6
1591231 -13.608 24.225  42102.7
1591235 -13.442 24.342  5018.3
1591240 -12.392 26.242  1726.7
1591245 -13.458 25.842  1104.7
1591300 -17.225 26.475  2996.6
1591401 -15.825 28.208  151990.0
1591402 -15.742 27.292  133442.5
1591403 -15.758 26.008  106481.0
1591404 -14.925 25.908  95615.9
1591405 -14.425 27.008  51006.9
1591406 -13.642 27.625  22955.9
1591408 -14.558 26.458  55088.9
1591420 -15.958 27.608  1836.6
1591435 -13.692 26.342  19702.4
1591440 -13.825 27.375  8882.6
1591441 -12.908 27.342  2632.6
1591470 -13.408 27.808  18814.5
1591471 -13.242 28.158  11527.8
1591474 -12.642 28.158  7064.3
1591475 -13.225 28.392  1401.7
1591480 -12.892 28.258  9388.1
1591481 -12.425 27.725  4991.5
1591520 -13.258 28.208  4799.7
1591700 -13.208 31.042  1021.7
1591720 -14.292 28.558  1446.4
1591730 -14.975 30.208  141878.4
1591820 -14.992 22.692  33338.1
1593100 -11.975 28.742  122132.4
1593201 -10.725 29.092  1324.2
1593300 -10.458 29.025  3712.7
1593700 -10.942 31.075  34332.6
1593701 -9.775  31.675  4654.2
1593702 -9.958  32.142  16103.2
1593710 -9.925  32.142  10516.6
1593715 -11.225 31.675  1054.1
1593720 -11.492 31.275  1145.2
1593730 -10.142 30.975  1251.3
1593740 -10.192 30.975  6354.6
1593765 -9.692  32.692  1333.1
1593790 -10.142 30.942  2517.9
1597001 -25.942 31.742  7878.7
1597002 -26.025 31.108  6091.0
1598001 -26.175 32.042  2892.5
1598002 -26.158 31.875  2277.2
1599100 -26.692 31.675  12837.8
1599101 -26.575 31.075  2952.1
1599130 -27.075 31.842  1231.4
1599150 -26.825 31.325  3640.0
1599151 -27.075 31.042  2377.0
1599180 -26.742 30.808  1485.5
1599200 -26.492 31.275  1182.3
1599230 -26.392 30.842  1442.9
1599300 -26.708 31.058  3185.1
1615500 11.775  -13.208 9747.0
1616700 10.442  -13.008 10190.9
1617800 9.858 -12.508 2744.7
1619600 8.492 -10.342 6879.6
1622500 8.058 -9.058  4028.8
1626500 6.525 1.008 1867.5
1631100 10.308  0.475 36772.4
1631200 10.208  0.442 6662.1
1631480 9.625 0.942 2824.8
1631500 9.525 1.175 1588.3
1632500 7.792 1.308 9900.5
1634100 10.708  -11.108 1252.0
1634200 10.025  -10.742 3177.8
1634400 10.642  -9.875  16645.8
1634420 10.608  -9.725  12812.4
1634440 10.408  -9.758  12237.6
1634500 10.375  -9.292  9506.7
1634560 9.258 -9.025  1717.8
1634600 11.375  -9.625  16098.4
1634650 11.375  -9.158  67743.4
1634700 11.442  -8.925  68460.0
1634800 10.625  -8.675  21968.3
1642500 0.375 10.225  1862.1
1643100 -0.692  10.225  203661.3
1643150 -1.208  10.592  21494.5
1643200 -0.192  10.775  157540.2
1643220 -1.875  11.058  15213.0
1643250 -0.075  11.608  140283.2
1643260 -2.242  11.492  2305.0
1643300 -0.092  11.925  129911.7
1643320 0.308 12.192  8853.9
1643350 -1.142  12.475  2192.8
1643370 -1.008  12.525  2428.1
1643400 -0.808  12.725  45682.8
1643420 0.525 12.825  48689.9
1643450 0.575 12.858  36968.3
1643500 -1.642  13.525  8666.2
1643520 -1.625  13.608  6189.7
