  ID  lat_ori  lon_ori  lat_MERIT  lon_MERIT  area_MERIT  width_MERIT  elv_MERIT
            1133         9.1620        20.4500         9.1583        20.4417    118715.8594        13.5000       387.7000
            1134         9.1450        20.0950         9.1417        20.0917    119984.9062        37.5007       384.2000
            1135         6.9080        -5.5850         6.9083        -5.5917     21461.8125        24.3000       150.5000
            1136         9.2930        31.7010         9.2917        31.7083    213454.4688        24.3000       390.9000
            1137         9.0930        32.3360         9.0917        32.3417    207946.9375        96.6048       393.6000
            1138        13.2050        -5.8050        13.2083        -5.8083    101407.4141       140.6035       268.7000
            1139        13.9440        -4.3760        13.9417        -4.3750    129409.8516       131.9928       262.5000
            1140        11.3660        -7.5250        11.3583        -7.5250     14595.4600        23.4000       320.3000
            1141        11.2810        -7.6310        11.2750        -7.6250     14351.2920        57.1035       322.9000
            1142        12.5180        -6.8530        12.5250        -6.8583     31529.3672        11.2500       283.1000
            1143         8.1990        34.8420         8.1917        34.8417     21739.8027        74.6975       468.9000
            1144         8.4380        33.3780         8.4417        33.3750     35735.1289        61.3097       403.2000
            1145         8.4490        33.3420         8.4417        33.3417     35738.0312        71.7853       402.2000
            1146         8.1810        34.2560         8.1750        34.2583     24687.0898        31.5000       420.0000
            1147         8.1800        34.3380         8.1917        34.3250     24601.0273        31.5000       421.0000
            1148       -11.3440       -66.3330       -11.3417       -66.3250    113934.0391       356.3194       123.1000
            1149       -13.3220       -67.3210       -13.3250       -67.3250     77795.5312       299.8550       157.0000
            1150       -11.8750       -66.9320       -11.8750       -66.9250     99714.4375       434.7950       131.8000
            1151       -11.9440       -66.9160       -11.9417       -66.9083     98607.7422       436.3547       133.3000
            1152       -12.0240       -66.8980       -12.0250       -66.8917     98318.6562       366.0558       135.1000
            1153       -12.0580       -66.8910       -12.0583       -66.8917     98307.3750       233.8974       135.4000
            1154       -12.1130       -66.8780       -12.1083       -66.8750     98267.8672       314.8910       135.5000
            1155       -11.8320       -66.8670       -11.8083       -66.8750     99897.1562       446.3392       131.3000
            1156       -14.8980       -67.6790       -14.8917       -67.6750     54941.4023       194.2022       234.5000
            1157       -11.3140       -66.3080       -11.3083       -66.3083    114166.2578       357.2389       123.1000
