ID  Lat Lon EGM96_h
1257  28.688  80.263  -59.63
1258  26.434  96.600  -48.39
1259  26.618  96.512  -48.43
1260  26.717  96.464  -48.38
1261  22.881  94.533  -51.62
1262  26.291  96.097  -49.13
1263  5.535 24.313  -7.87
1264  9.221 -4.030  27.00
1265  9.058 -3.885  26.96
1266  9.102 -3.875  26.95
1267  7.005 -3.736  27.69
1268  7.928 -3.943  27.31
1269  7.973 -3.953  27.30
1270  8.107 -3.983  27.26
1271  8.175 -3.999  27.23
1272  8.307 -4.028  27.18
1273  9.601 -4.320  27.20
1274  6.367 -3.553  27.57
1275  -6.034  12.722  8.38
1276  -2.262  16.181  -3.54
1277  -6.032  12.788  8.18
1278  1.421 23.400  -17.80
1279  0.609 24.716  -18.85
1280  -1.945  16.367  -4.53
1281  -1.279  25.761  -19.24
1282  2.064 21.236  -16.66
1283  -0.915  17.387  -10.33
1284  1.890 19.843  -14.10
1285  1.227 23.574  -18.41
1286  -4.954  14.149  2.82
1287  -1.014  17.250  -9.34
1288  1.364 23.445  -17.99
1289  -4.145  15.414  -0.35
1290  -4.301  15.449  -0.56
1291  -3.154  25.927  -18.01
1292  0.721 24.549  -18.95
1293  0.874 24.214  -19.03
1294  2.066 21.285  -16.83
1295  2.093 21.300  -16.86
1296  -4.054  15.550  -0.65
1297  2.182 21.926  -17.29
1298  -1.370  16.791  -6.50
1299  -6.070  12.466  9.46
1300  1.986 20.757  -15.23
1301  2.194 22.190  -16.59
1302  -4.948  14.155  2.80
1303  1.103 23.781  -18.71
1304  1.105 23.776  -18.71
1305  1.257 18.683  -11.07
1306  2.008 20.528  -14.77
1307  0.540 25.075  -18.41
1308  -2.715  16.187  -3.36
1309  2.004 20.711  -15.10
1310  2.132 21.659  -17.59
1311  -5.926  12.934  7.22
1312  1.594 19.182  -12.29
1313  1.881 19.761  -13.91
1314  -1.131  25.640  -19.10
1315  1.596 19.184  -12.30
1316  -1.325  16.815  -6.61
1317  2.126 22.596  -15.87
1318  -0.075  18.112  -11.69
1319  1.984 20.719  -15.15
1320  -1.042  17.167  -8.77
1321  -3.666  26.013  -17.60
1322  0.356 25.379  -18.12
1323  -0.687  17.608  -11.61
1324  -1.179  16.917  -7.16
1325  1.118 23.754  -18.68
1326  0.750 24.397  -19.09
1327  -5.904  13.359  6.29
1328  2.133 21.687  -17.60
1329  0.990 24.081  -18.89
1330  -5.888  13.153  6.57
1331  -3.653  16.023  -2.69
1332  -4.615  26.737  -16.52
1333  0.424 18.297  -12.42
1334  2.001 22.685  -16.12
1335  -5.866  13.230  6.32
1336  0.581 24.808  -18.75
1337  1.918 22.848  -16.20
1338  2.115 22.618  -15.87
1339  2.061 21.234  -16.66
1340  1.468 19.001  -11.85
1341  2.112 21.453  -17.30
1342  -5.649  13.591  4.85
1343  1.885 19.836  -14.09
1344  1.133 18.565  -10.97
1345  -0.178  18.076  -11.60
1346  11.930  -14.199 30.09
1347  12.059  -13.294 30.39
1348  12.257  -13.669 30.41
1349  11.645  -14.519 29.82
1350  12.274  -13.441 30.57
1351  -0.666  16.392  -4.67
1352  -0.742  16.515  -5.04
1353  -0.651  16.083  -4.11
1354  -0.409  15.677  -2.88
1355  -0.423  15.511  -2.35
1356  -7.006  -56.722 -13.21
1357  -7.152  -56.754 -12.83
1358  -7.172  -56.759 -12.78
1359  -5.866  -57.188 -13.29
1360  -5.976  -56.754 -14.21
1361  -6.110  -56.725 -14.35
1362  -17.133 22.695  10.56
1363  -17.093 22.648  10.59
1364  -15.565 21.448  10.55
1365  -17.982 24.619  8.91
1366  -9.519  14.069  16.58
1367  -9.533  14.278  16.35
1368  -10.325 16.818  14.32
1369  -10.253 16.938  13.83
1370  -9.797  16.225  14.89
